Time (ms); Pri Amplitude (mm)
77110;118.5929
77201;118.6267
77282;118.6269
77368;118.6018
77453;118.6024
77547;118.5038
77632;118.6181
77718;118.6683
77805;118.6064
77888;118.5529
77979;118.4496
78064;118.4279
78151;118.292
78239;118.0287
78328;117.854
78413;117.7367
78503;117.7113
78589;117.5488
78679;117.4315
78759;117.216
78844;117.1285
78934;116.9741
79020;117.002
79117;116.9357
79201;116.8544
79289;116.7307
79370;116.6964
79460;116.7226
79547;116.7145
79627;116.5374
79717;116.5568
79804;116.5137
79894;116.5827
79982;116.509
80067;116.5937
80154;116.5477
80235;116.3136
80329;116.3715
80425;116.6065
80510;116.8211
80595;116.7781
80675;117.0683
80764;117.1835
80844;117.3402
80939;117.4413
81021;117.5902
81110;117.52
81200;117.5938
81284;117.758
81371;117.8136
81459;117.8169
81549;117.9937
81627;118.319
81721;118.2186
81807;118.3417
81893;118.5523
81980;118.6302
82071;118.4614
82153;118.6174
82241;118.7559
82331;118.6726
82420;118.7574
82502;118.6635
82594;118.5624
82678;118.6958
82764;118.5917
82844;118.5075
82938;118.2484
83018;118.236
83109;118.1028
83195;118.2326
83287;117.9135
83372;117.7363
83465;117.6315
83555;117.5459
83631;117.4102
83718;117.2656
83813;117.1951
83897;117.0367
83981;116.992
84071;116.8577
84157;116.8896
84241;116.6871
84328;116.6927
84426;116.7456
84506;116.6098
84596;116.613
84679;116.6256
84761;116.5124
84846;116.4075
84939;116.5286
85032;116.5602
85112;116.6733
85202;116.6872
85282;116.8679
85376;116.9925
85462;117.1644
85544;117.4067
85640;117.4589
85723;117.4473
85805;117.5044
85902;117.5951
85987;117.7672
86079;117.8479
86160;117.9112
86255;118.1017
86336;118.2442
86419;118.3338
86506;118.5154
86588;118.4446
86682;118.3409
86769;118.2527
86852;118.3141
86943;118.2559
87030;118.2266
87111;118.2319
87205;118.1457
87298;117.9336
87386;117.8652
87461;117.8884
87554;117.7406
87638;117.6226
87734;117.4521
87812;117.4362
87897;117.2725
87987;117.0419
88074;117.1029
88161;116.9257
88243;116.7831
88336;116.8495
88418;116.8241
88510;116.7805
88595;116.6501
88685;116.6088
88773;116.5053
88857;116.5381
88942;116.5653
89029;116.5071
89114;116.4227
89202;116.4492
89293;116.4581
89377;116.3622
89461;116.3543
89561;116.3964
89644;116.3424
89731;116.529
89812;116.4133
89902;116.4522
89986;116.6272
90078;116.6129
90163;116.6377
90245;116.8718
90345;116.9722
90432;117.0176
90508;117.2405
90597;117.2166
90687;117.4758
90770;117.5194
90858;117.6036
90950;117.7114
91031;117.8362
91122;118.0242
91217;118.0021
91292;118.1123
91380;117.9934
91467;118.12
91559;118.0917
91641;118.1325
91729;118.3115
91816;118.133
91901;118.0582
91993;118.0963
92074;118.0024
92172;117.7872
92253;117.7973
92339;117.6069
92427;117.4513
92514;117.2795
92596;117.3201
92689;117.1541
92776;117.0445
92857;116.9137
92951;116.9439
93037;116.9132
93121;116.8743
93213;116.7131
93296;116.7149
93383;116.6934
93470;116.504
93561;116.6903
93642;116.5566
93733;116.4397
93820;116.4965
93900;116.338
93996;116.4163
94078;116.3884
94163;116.2572
94248;116.4262
94341;116.4878
94437;116.4618
94523;116.7163
94601;116.8548
94693;116.842
94779;116.8313
94863;116.8468
94947;116.8914
95035;116.9107
95129;117.1572
95214;117.2974
95299;117.263
95388;117.5024
95471;117.5617
95557;117.6995
95647;117.8179
95733;117.9776
95823;117.9032
95907;117.7575
95992;117.8282
96080;117.9659
96181;117.9766
96260;117.863
96340;117.8308
96433;117.718
96516;117.6199
96602;117.486
96691;117.3827
96779;117.191
96871;117.1267
96954;117.0052
97036;116.9843
97126;116.7454
97220;116.7882
97300;116.6273
97388;116.6432
97478;116.5809
97562;116.5203
97652;116.5117
97735;116.3015
97823;116.3401
97913;116.3699
97998;116.4659
98086;116.3428
98171;116.4672
98269;116.5073
98347;116.6198
98435;116.7335
98523;116.8191
98609;116.9214
98693;117.0269
98786;117.0973
98869;117.2225
98955;117.3003
99048;117.3847
99130;117.6008
99221;117.6586
99302;117.8332
99389;117.9632
99487;117.8681
99568;117.9554
99652;118.1
99740;118.1523
99827;118.1448
99914;118.1755
100001;118.1671
100092;118.1848
100175;118.0689
100262;118.1901
100352;118.0421
100438;117.8169
100524;117.6625
100611;117.6815
100696;117.6024
100784;117.4812
100872;117.3366
100959;117.3129
101048;117.1956
101135;117.1077
101221;117.1116
101309;116.9328
101401;116.7852
101488;116.7661
101576;116.7352
101658;116.6044
101744;116.4864
101835;116.4863
101918;116.4102
102005;116.3554
102095;116.3967
102179;116.3827
102267;116.2426
102353;116.2257
102445;116.2931
102533;116.4362
102619;116.2322
102705;116.4246
102793;116.4698
102877;116.687
102962;116.7587
103053;116.9077
103137;116.9195
103225;117.0277
103311;117.1618
103400;117.2723
103488;117.3468
103573;117.5337
103666;117.6254
103758;117.688
103836;117.8478
103919;117.8715
104009;117.8275
104093;117.871
104186;117.8789
104268;117.9997
104355;117.9875
104442;118.0504
104538;118.1811
104621;118.0937
104706;117.9021
104794;117.869
104877;117.7255
104964;117.4661
105048;117.4547
105143;117.3032
105227;117.2458
105318;117.0506
105405;116.9925
105486;116.9013
105576;116.8395
105663;116.7979
105750;116.7347
105845;116.6128
105927;116.4901
106008;116.5473
106097;116.4772
106182;116.4484
106266;116.3297
106357;116.3146
106443;116.3019
106530;116.3371
106626;116.3113
106712;116.3165
106792;116.2006
106880;116.2539
106964;116.4856
107053;116.7039
107139;116.8239
107230;117.0318
107313;117.1153
107400;117.2492
107492;117.1974
107574;117.317
107662;117.3443
107749;117.4545
107841;117.5388
107928;117.5705
108010;117.7092
108096;117.8975
108186;118.0304
108272;118.0643
108358;118.1144
108444;118.0036
108531;117.8726
108620;117.7149
108707;117.7548
108800;117.8207
108885;117.68
108968;117.5986
109056;117.5282
109145;117.4849
109239;117.4952
109316;117.3174
109412;117.1443
109496;116.9094
109577;116.8708
109664;116.8926
109749;116.7495
109844;116.6963
109926;116.5511
110011;116.5187
110101;116.5328
110185;116.3915
110271;116.2183
110357;116.2605
110443;116.2496
110538;116.3418
110621;116.5345
110709;116.6326
110796;116.5022
110881;116.8499
110964;116.8953
111056;116.8489
111141;117.0691
111238;117.2182
111327;117.2304
111403;117.2478
111499;117.3001
111575;117.4329
111664;117.6621
111752;117.7025
111839;117.8202
111921;117.8509
112011;118.0408
112109;118.0432
112194;118.0227
112277;117.908
112360;117.8887
112445;117.8776
112536;117.9335
112622;117.8099
112705;117.8222
112795;117.7612
112886;117.7028
112969;117.6462
113056;117.388
113147;117.3801
113231;117.0828
113318;117.1429
113406;117.15
113492;117.0884
113580;116.8366
113662;116.844
113752;116.6587
113838;116.6109
113927;116.5463
114019;116.4519
114103;116.3287
114185;116.1886
114269;116.2526
114365;116.2911
114450;116.2736
114533;116.1527
114624;116.1493
114712;116.1616
114792;116.1959
114882;116.1766
114976;116.2685
115055;116.2384
115145;116.2612
115242;116.3319
115319;116.6441
115402;116.6953
115492;116.7794
115583;117.0717
115665;117.0523
115757;117.2751
115841;117.2912
115928;117.324
116017;117.4139
116103;117.4559
116192;117.6629
116276;117.626
116373;117.6278
116454;117.9278
116540;117.9441
116621;118.0168
116712;118.117
116806;117.946
116881;117.9873
116974;117.8418
117060;117.8639
117146;117.7012
117237;117.5877
117321;117.5802
117403;117.4962
117504;117.286
117584;117.3418
117665;117.2762
117755;117.0706
117845;116.9624
117927;116.7876
118013;116.919
118112;116.8076
118185;116.6244
118277;116.5655
118369;116.5744
118449;116.3868
118544;116.354
118636;116.3168
118712;116.1307
118801;116.0628
118894;116.1263
118971;116.1786
119061;115.9826
119149;116.2497
119230;116.0996
119322;116.0939
119414;116.2926
119496;116.3867
119586;116.3368
119672;116.4827
119755;116.6568
119845;116.9105
119934;116.8675
120015;117.1533
120115;117.0724
120193;117.2141
120274;117.3074
120368;117.3745
120454;117.5639
120538;117.5414
120637;117.7086
120718;117.8495
120802;117.9078
120889;118.1079
120979;118.0939
121062;118.0378
121149;117.9759
121233;117.9813
121322;117.839
121422;117.9358
121508;117.8019
121586;117.799
121674;117.6465
121763;117.5901
121842;117.5902
121933;117.4885
122022;117.3123
122109;117.1966
122204;117.1472
122289;116.9431
122363;116.8408
122455;116.8633
122543;116.7924
122631;116.5792
122720;116.6153
122805;116.555
122885;116.3954
122978;116.4121
123066;116.423
123151;116.336
123247;116.1924
123326;116.2177
123419;116.2449
123506;116.3271
123588;116.1212
123674;116.2634
123764;116.2056
123845;116.2895
123934;116.3911
124025;116.4391
124111;116.5283
124198;116.6242
124288;116.7244
124373;116.8228
124454;116.8325
124547;117.0294
124633;117.2811
124714;117.2229
124807;117.3278
124897;117.5311
124978;117.5222
125064;117.6504
125157;117.5988
125242;117.9531
125327;117.9139
125416;117.9807
125500;118.1834
125588;118.232
125678;118.2596
125760;118.4222
125855;118.2506
125941;118.0618
126024;118.1429
126113;118.0928
126201;118.1557
126286;118.0628
126371;118.0762
126461;118.0464
126551;117.9637
126642;117.9793
126731;117.8482
126809;117.4216
126898;117.5351
126983;117.4613
127066;117.3656
127158;117.1742
127240;117.1939
127329;117.0779
127420;116.91
127508;116.9552
127596;116.8395
127680;116.8179
127767;116.5557
127853;116.5202
127944;116.3834
128029;116.5192
128118;116.3004
128210;116.3688
128286;116.3787
128377;116.2072
128467;116.1245
128554;116.2845
128637;116.2545
128724;116.0905
128815;116.2364
128900;116.3592
128990;116.49
129076;116.4702
129159;116.7738
129250;116.8414
129333;116.8286
129424;117.1263
129511;117.169
129595;117.1416
129684;117.0956
129775;117.3773
129857;117.5057
129941;117.5326
130036;117.6125
130114;117.7792
130203;117.8131
130292;118.1583
130389;118.2028
130476;118.1108
130557;118.3225
130646;118.4206
130726;118.4299
130814;118.4055
130901;118.4556
130995;118.3132
131081;118.3701
131167;118.4233
131252;118.3861
131338;118.0371
131424;118.0051
131511;117.9689
131603;117.9749
131690;117.9548
131780;117.8794
131864;117.7487
131952;117.7513
132036;117.654
132124;117.5617
132211;117.3262
132299;117.2159
132386;117.1431
132472;117.1507
132557;117.0318
132648;116.8792
132730;116.8872
132817;116.7686
132906;116.7403
133001;116.7146
133079;116.6613
133167;116.4427
133260;116.4823
133347;116.5407
133433;116.4892
133521;116.3551
133604;116.5125
133691;116.3632
133786;116.3798
133866;116.3763
133954;116.446
134041;116.3791
134128;116.4766
134212;116.5819
134298;116.8023
134391;116.7225
134480;116.9814
134563;117.0771
134653;117.2184
134740;117.3336
134825;117.3746
134908;117.3379
134996;117.495
135086;117.5025
135171;117.5972
135256;117.6663
135344;117.7413
135433;117.8811
135516;118.012
135605;118.1415
135691;118.1819
135789;118.2212
135865;118.207
135955;118.2137
136041;118.309
136127;118.2322
136214;118.217
136304;118.1647
136391;118.1401
136477;118.0754
136562;117.9956
136653;117.9145
136736;117.7593
136827;117.6889
136908;117.65
136999;117.4945
137088;117.3264
137170;117.3597
137264;117.2072
137346;117.1287
137434;117.0954
137518;116.9268
137614;116.7836
137696;116.7781
137785;116.6856
137867;116.7056
137957;116.4904
138044;116.4885
138122;116.3835
138211;116.3631
138298;116.2863
138396;116.2765
138479;116.1988
138566;116.1616
138653;116.2158
138738;116.1677
