Time (ms); Pri Amplitude (mm)
45497;160.4262
45586;160.2722
45668;160.3168
45765;160.104
45857;160.0853
45943;160.1627
46034;160.455
46123;160.495
46213;160.6571
46303;160.6197
46392;160.3567
46485;160.1645
46577;160.2424
46666;160.1
46757;159.7635
46840;159.4384
46932;159.2306
47022;159.2439
47117;159.2959
47200;159.2596
47292;159.3654
47381;159.2705
47472;159.0967
47559;158.9816
47653;159.0733
47744;158.9109
47834;158.7831
47914;159.0835
48011;159.14
48100;159.0516
48188;159.2816
48280;159.1958
48372;159.1325
48460;159.3076
48547;159.5974
48639;159.7224
48728;159.7138
48820;159.9217
48912;159.721
49002;159.8081
49086;159.8106
49177;159.783
49262;159.7918
49364;159.8142
49452;159.8445
49534;159.8347
49629;159.8
49718;159.8295
49807;159.91
49900;159.8745
49986;159.8495
50075;159.6967
50170;159.4172
50266;159.2288
50342;159.2655
50435;159.2232
50526;159.2731
50618;159.2508
50704;159.432
50795;159.5096
50885;159.4126
50975;159.66
51067;159.7966
51154;160.1186
51249;160.5392
51339;161.1023
51420;161.6663
51516;162.0352
51607;162.8649
51692;163.5715
51788;164.1886
51877;163.9937
51962;163.4882
52052;163.4308
52145;162.3711
52230;161.6892
52324;161.149
52407;160.7683
52507;160.6743
52598;160.7752
52686;160.5039
52768;160.4307
52863;160.1261
52953;160.0407
53037;160.3116
53127;160.2626
53220;160.3108
53314;160.3718
53402;160.6185
53492;160.6904
53582;160.7765
53672;160.4297
53757;160.8614
53845;161.1813
53942;161.3462
54027;161.1188
54119;161.2398
54208;161.2552
54294;161.0673
54383;161.1529
54473;161.3278
54566;161.3979
54661;161.1866
54747;161.2809
54838;161.4299
54932;161.3272
55016;161.151
55105;161.325
55191;161.3383
55287;161.4103
55374;161.3022
55461;161.3063
55550;161.2508
55652;160.9714
55731;160.8962
55826;160.8029
55914;160.7223
55999;160.6563
56092;160.7747
56182;160.8513
56268;160.6479
56361;160.7257
56454;160.8322
56538;160.648
56634;160.4796
56721;160.391
56809;160.2704
56899;159.8174
56991;159.5295
57087;159.4339
57165;159.2767
57257;159.3212
