Time (ms); Pri Amplitude (mm)
54689;150.4214
54765;150.3106
55638;149.5708
55714;149.6377
55783;149.6731
55857;149.6772
55928;149.6255
55999;149.7244
56074;149.7073
56142;149.701
56219;149.7502
56292;149.8718
56359;149.8316
56441;149.9695
56513;150.0716
56582;150.2664
56661;150.3276
56730;150.4613
56805;150.6478
56875;150.807
56949;150.8353
57019;150.808
57092;150.7651
57163;150.6962
57234;150.6402
57312;150.5329
57384;150.4346
57459;150.3794
57534;150.2736
57608;150.1644
57673;150.1025
57751;149.9503
57822;149.8899
57895;149.8798
57966;149.8388
58041;149.8261
58112;149.7366
58184;149.7736
58260;149.6878
58339;149.6105
58408;149.6976
58473;149.6408
58550;149.6304
58625;149.6301
58697;149.6083
58767;149.5711
58842;149.601
58917;149.552
58987;149.5779
59064;149.5177
59134;149.5701
59215;149.6575
59285;149.74
59357;149.8484
59426;149.8828
59499;150.1124
59571;150.2748
59646;150.399
59717;150.4707
59787;150.6397
59861;150.6806
59929;150.8142
60006;150.8387
60087;150.7077
60153;150.6787
60221;150.5603
60297;150.5248
60372;150.4868
60442;150.4668
60518;150.3301
60591;150.1413
60670;150.1303
60737;149.931
60807;149.8552
60882;149.8414
60953;149.7934
61025;149.7088
61098;149.797
61175;149.7489
61249;149.7321
61322;149.7535
61392;149.7104
61466;149.6069
61539;149.6181
61607;149.6151
61678;149.5504
61756;149.5576
61827;149.4919
61904;149.4651
61975;149.5478
62043;149.5171
62118;149.6642
62192;149.6317
62263;149.6759
62337;149.7909
62410;149.8978
62479;149.8901
62557;150.1111
62629;150.2759
62703;150.3625
62781;150.4593
62849;150.5997
62924;150.7654
62991;150.7249
63062;150.6653
63141;150.6337
63211;150.6096
63289;150.5206
63357;150.4767
63430;150.4795
63504;150.4049
63575;150.2179
63648;150.1402
63723;149.9936
63797;149.8808
63866;149.8658
63938;149.7798
64010;149.7805
64083;149.7952
64160;149.6244
64227;149.7234
64301;149.6356
64378;149.6979
64445;149.6389
64519;149.7139
64597;149.6174
64661;149.6118
64739;149.5392
64813;149.5381
64887;149.5006
64957;149.4236
65030;149.4797
65100;149.4897
65176;149.5985
65250;149.5934
65319;149.6467
65393;149.6066
65465;149.7345
65543;149.7881
65614;149.8695
65684;150.1608
65753;150.1754
65827;150.2588
65907;150.3754
65977;150.5295
66044;150.6511
66117;150.7606
66194;150.7635
66266;150.867
66337;150.9008
66412;150.8696
66486;150.7956
66553;150.7208
66631;150.6417
66702;150.436
66776;150.1029
66849;149.8782
66923;149.8331
66993;149.8704
67066;149.7693
67139;149.8058
67214;149.8011
67286;149.6549
67357;149.7163
67427;149.5683
67504;149.5457
67578;149.5752
67650;149.63
67719;149.5962
67793;149.6016
67868;149.5557
67939;149.5478
68012;149.5569
68090;149.6898
68159;149.6862
68234;149.7711
68302;149.5878
68378;149.4788
68452;149.369
68520;149.5959
68597;149.736
68668;149.9397
68741;150.0722
68815;150.1368
68888;150.1869
68960;150.4217
69032;150.515
69106;150.6247
69177;150.5274
69249;150.465
69323;150.5876
69398;150.4279
