Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
171340;16.3622;13.3641;
171412;16.4473;13.8586;
172293;16.933;18.5785;
172365;16.8949;19.1116;
172436;17.0304;19.4512;
172513;16.9591;19.9483;
172583;17.0503;20.3643;
172654;17.0899;20.5659;
172728;17.0891;20.8007;
172804;17.1636;20.8091;
172875;17.256;20.3211;
172952;17.1619;19.5501;
173023;17.3016;18.744;
173094;17.1474;18.2787;
173162;17.1261;17.2497;
173241;17.1173;16.3158;
173312;17.1147;15.7675;
173384;17.0568;14.9424;
173458;16.9713;14.4753;
173528;16.9157;13.9512;
173601;16.8373;13.5229;
173674;16.7644;13.1897;
173747;16.6597;12.7464;
173823;16.6736;12.4778;
173895;16.6338;12.1661;
173966;16.5042;11.9988;
174037;16.4653;11.8088;
174113;16.4101;11.5667;
174184;16.2807;11.5768;
174259;16.0996;11.6341;
174339;16.1762;11.1464;
174406;16.2685;11.0931;
174483;16.2443;10.8697;
174555;16.255;10.7442;
174625;16.2577;10.5871;
174694;16.2565;10.489;
174765;16.2411;10.5028;
174841;16.2444;10.4958;
174915;16.2129;10.5387;
174988;16.1783;10.6068;
175063;16.2033;10.7897;
175129;16.2033;10.9626;
175201;16.1934;11.1339;
175278;16.1805;11.3776;
175352;16.1639;11.82;
175421;16.1266;12.0072;
175499;16.149;12.2013;
175570;16.1903;12.782;
175642;16.3002;13.2424;
175717;16.3211;13.8116;
175787;16.437;14.3336;
175862;16.4928;14.8349;
175932;16.4909;15.3825;
176006;16.5372;15.9331;
176078;16.6117;16.364;
176152;16.6628;16.947;
176224;16.7634;17.5109;
176298;16.7643;17.8901;
176375;16.7892;18.3821;
176445;16.7811;18.8278;
176517;16.7335;19.0671;
176587;16.8735;19.0497;
176659;16.9107;19.4603;
176733;16.8598;19.8521;
176811;16.9151;20.349;
176884;17.0245;20.6676;
176954;17.0228;21.0659;
177024;17.095;21.4671;
177101;17.1172;21.7501;
177174;17.2383;21.96;
177245;17.2412;22.1146;
177323;17.2241;22.2871;
177387;17.2718;22.407;
177466;17.2296;22.3086;
177538;17.1234;22.132;
177612;17.2035;21.2477;
177682;17.291;20.3823;
177756;17.3773;19.5297;
177831;17.2984;18.7508;
177902;17.1999;18.2082;
177974;17.1524;17.4188;
178049;17.2274;16.8291;
178120;17.0656;16.2544;
178194;17.0022;15.7001;
178265;16.978;15.1858;
178340;16.9376;14.5501;
178411;16.8765;14.0888;
178482;16.7898;13.7967;
178556;16.7099;13.4262;
178627;16.5331;13.2937;
178700;16.5573;12.7523;
178771;16.4782;12.3527;
178848;16.4242;12.0368;
178918;16.4043;11.7174;
178990;16.4009;11.4449;
179065;16.4259;11.2756;
179137;16.3448;11.2068;
179210;16.3242;11.0081;
179285;16.3497;10.9209;
179357;16.2654;10.8639;
179431;16.2668;11.0045;
179508;16.35;11.0202;
179581;16.3237;11.0271;
179650;16.2847;11.4665;
179719;16.2823;11.9008;
179790;16.087;12.5149;
179865;16.178;12.6771;
179940;16.2682;13.1263;
180013;16.3003;13.5458;
180085;16.3938;13.965;
180160;16.4022;14.5351;
180233;16.5169;15.008;
180305;16.5132;15.5718;
180375;16.6739;16.0275;
180454;16.6924;16.5697;
180526;16.7201;17.0333;
180599;16.7594;17.4616;
180668;16.7948;17.9342;
180743;16.8469;18.2935;
180817;16.8674;18.7174;
180890;16.7911;19.0828;
180962;16.8207;19.4054;
181028;16.8225;19.8234;
181101;16.8655;20.1856;
181176;16.9101;20.4976;
181250;16.9885;21.0465;
181322;17.0041;21.4083;
181398;17.0427;21.8736;
181465;17.1185;22.1784;
181551;17.1442;22.5632;
181618;17.1659;22.8201;
181693;17.1409;22.9674;
181764;17.216;22.996;
181835;17.2457;22.9003;
181904;17.2042;22.5691;
181982;17.1818;21.8769;
182053;17.2877;20.9387;
182126;17.3395;19.8621;
182197;17.3392;18.9779;
182269;17.31;18.2135;
182339;17.2605;17.3608;
182414;17.1494;16.7901;
182488;17.1457;16.1573;
182557;17.0628;15.6685;
182631;16.9554;15.232;
182708;16.8488;14.7887;
182780;16.7649;14.4782;
182856;16.6924;14.2065;
182926;16.6517;13.7824;
183005;16.5143;13.6278;
183074;16.4082;13.5979;
183142;16.3676;13.0397;
183218;16.3707;12.8224;
183289;16.3566;12.5091;
183362;16.3502;12.2431;
183437;16.2771;12.0419;
183502;16.3809;11.916;
183580;16.2959;11.9787;
183655;16.3393;11.9182;
183727;16.2891;11.8621;
183801;16.3056;11.8438;
183876;16.2324;11.8893;
183948;16.2202;11.9101;
184018;16.2197;11.9582;
184093;16.1936;12.0059;
184165;16.1308;12.1926;
184238;16.0569;12.6598;
184314;16.1282;12.8201;
184384;16.2294;13.0837;
184456;16.2581;13.4339;
184534;16.3933;13.7804;
184602;16.3223;14.1546;
184674;16.4505;14.5428;
184740;16.5164;14.9461;
184818;16.5472;15.3806;
184892;16.5873;15.8567;
184967;16.6222;16.3189;
185044;16.6325;16.6864;
185111;16.6961;17.0586;
185183;16.7666;17.4262;
185258;16.7672;17.7984;
185330;16.729;18.268;
185404;16.7076;18.458;
185479;16.78;18.6956;
185548;16.8057;18.8239;
185623;16.8673;19.2173;
185695;16.7894;19.7502;
185767;16.9599;20.2534;
185839;16.9382;20.7973;
185916;16.9578;21.3442;
185986;17.0179;21.7895;
186057;17.0691;22.1083;
186140;17.1837;22.3168;
186204;17.1479;22.6441;
186275;17.1885;22.7449;
186349;17.0844;22.8566;
186420;17.0844;22.7672;
186496;17.1778;22.2946;
186561;17.252;21.7104;
186639;17.3363;20.7986;
186718;17.2766;20.0045;
186788;17.2521;19.205;
186858;17.186;18.4764;
186932;17.1968;17.9536;
187008;17.0591;17.2907;
187079;17.077;16.6428;
187158;17.036;16.1652;
187225;16.8998;15.6752;
187296;16.8591;15.339;
187370;16.7392;14.7436;
187441;16.6445;14.7291;
187515;16.5471;14.3966;
187589;16.4889;13.913;
187659;16.5181;13.6042;
187736;16.5088;13.1128;
187808;16.4163;12.9402;
187880;16.4109;12.6379;
187951;16.4496;12.6832;
188026;16.3541;12.3664;
188097;16.4033;12.2317;
188171;16.2784;12.1219;
188242;16.2081;12.1057;
188321;16.2797;12.2077;
188387;16.2047;11.9842;
188461;16.204;12.0057;
188538;16.2805;12.0422;
188606;16.1601;12.3804;
188683;16.1471;12.5269;
188752;16.2004;12.7255;
188828;16.1654;13.3964;
188905;16.3845;13.7313;
188974;16.3595;14.1685;
189050;16.4343;14.6606;
189117;16.5472;14.9933;
189189;16.5755;15.4697;
189263;16.7499;15.9165;
189340;16.7383;16.2546;
189414;16.7756;16.7046;
189483;16.8213;17.032;
189557;16.8763;17.3898;
189628;16.916;17.5865;
189699;16.9261;18.0607;
189771;16.8051;18.3638;
189850;16.8623;18.4841;
189920;16.8468;18.9923;
189994;16.8576;19.7504;
190065;16.8645;20.1072;
190143;16.969;20.6905;
190217;17.0452;21.4254;
190284;17.1362;21.944;
190361;17.2264;22.1674;
190436;17.3437;22.3192;
190506;17.4227;22.5679;
190577;17.3221;22.4612;
190646;17.3316;22.5413;
190720;17.2836;22.4288;
190791;17.2147;22.7283;
190871;16.9679;23.2445;
190941;16.8103;23.5204;
191016;16.7081;24.2751;
191082;16.4818;24.475;
191158;16.3883;24.3238;
191231;16.2212;24.1701;
191302;16.4961;23.875;
191376;16.3511;23.1854;
191449;16.3887;20.8471;
191529;16.1883;19.6167;
191593;15.8401;19.5997;
191670;15.7581;19.4721;
191746;15.6555;18.672;
191817;15.6484;17.9976;
191887;15.4611;17.3725;
191956;15.4515;15.8305;
192034;15.4752;15.1233;
192104;15.4034;14.3881;
192180;15.3923;13.5986;
192247;15.3005;13.1546;
192321;15.2603;12.7919;
192396;15.2352;12.4846;
192472;15.1802;12.2065;
192549;15.1666;12.0201;
192619;15.0751;11.9161;
192686;15.1479;12.1303;
192760;15.1868;12.367;
192835;15.1551;12.4155;
192907;15.1055;12.5794;
192981;15.0247;12.974;
193056;15.1399;12.8321;
193133;15.1098;13.1804;
193199;15.1506;13.7437;
193270;15.2845;14.3135;
193340;15.3437;14.8408;
193415;15.4219;15.4481;
193490;15.5399;16.1475;
193563;15.6257;16.7446;
193634;15.6932;17.1677;
