17:52:25   Default
03112021Patient8
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
103926;24.5162;38.8919;
104002;24.6411;38.2765;
104070;24.3937;37.8049;
104143;24.5027;37.5096;
104219;24.4366;36.9434;
104291;24.4583;36.3944;
104362;24.5293;35.838;
104434;24.599;35.3718;
104508;24.5437;34.8436;
104579;24.5106;34.3041;
104648;24.5374;33.639;
104729;24.3771;33.1843;
104797;24.1213;32.9127;
104871;24.0821;32.1217;
104950;23.9795;31.6377;
105016;24.0194;31.0109;
105091;23.8807;30.6248;
105163;23.837;30.2169;
105236;24.0286;29.7905;
105310;24.1203;29.8955;
105380;23.7409;30.2388;
105452;23.7388;30.1142;
105526;24.049;30.1475;
105601;23.7523;30.3665;
105672;23.792;30.2566;
105746;23.7885;29.9008;
105817;23.9442;29.9567;
105889;23.8982;29.8603;
105961;23.9404;30.0477;
106035;23.9673;30.0229;
106107;24.1307;30.2627;
106182;23.8913;30.3463;
106256;23.7666;30.51;
106326;23.8598;30.3112;
106399;23.4744;30.2434;
106481;23.3559;29.7653;
106552;23.3721;29.2416;
106619;23.328;28.9731;
106690;23.1118;28.7192;
106763;23.051;28.9558;
106836;22.8652;30.3636;
106908;22.6118;32.3232;
106983;23.0581;32.9872;
107056;23.2705;33.8973;
107132;23.3721;34.4986;
107200;23.4047;34.987;
107275;23.5619;34.3847;
107347;23.6753;33.8289;
107418;23.8353;33.7034;
107490;23.9602;33.4872;
107575;24.2088;33.3007;
107636;24.0698;33.3639;
107712;23.8373;34.1167;
107785;23.74;34.1338;
107858;24.0476;33.7765;
107926;23.9432;33.8811;
108005;23.9209;33.6866;
108082;24.0537;33.0551;
108151;24.3184;33.0833;
108219;24.3421;32.9242;
108297;24.3052;33.0929;
108367;24.3288;33.1383;
108442;24.0768;32.9541;
108514;23.8879;31.9703;
108584;23.7724;31.4626;
108660;23.9247;30.8942;
108734;23.5659;30.4077;
108805;23.394;29.8448;
108877;23.3104;29.5657;
108952;23.2459;29.6657;
109023;23.1901;29.8006;
109096;23.1831;30.0581;
109171;23.2831;30.796;
109245;23.4024;31.7448;
109320;23.2538;32.4338;
109393;23.3764;33.0614;
109460;23.3415;33.7861;
109530;23.3929;34.5228;
109605;23.2321;35.3429;
109682;23.3874;36.1972;
109750;23.5073;36.8189;
109821;23.7102;37.385;
109897;23.7753;37.8373;
109970;24.0984;38.3898;
110043;24.122;38.8774;
110118;24.253;39.4986;
110191;24.2627;39.9815;
110263;24.1976;40.4004;
110335;24.2508;40.6792;
110413;24.1203;41.1096;
110487;24.3876;41.4619;
110558;24.342;41.9351;
110631;24.5665;42.0732;
110700;24.8735;42.1245;
110773;24.81;41.7395;
110848;24.6465;41.0166;
110918;24.767;40.2437;
110990;24.8381;39.7382;
111065;24.6315;38.6292;
111136;24.605;37.7087;
111208;24.5564;37.17;
111283;24.5676;36.4063;
111358;24.4717;35.7465;
111423;24.5941;34.941;
111498;24.5566;34.321;
111570;24.3891;33.6429;
111643;24.3397;33.0662;
111722;24.2424;32.3749;
111795;24.0434;32.1594;
111866;23.9433;31.3942;
111942;23.9165;30.8187;
112006;23.8753;30.4393;
112082;23.5795;29.922;
112152;23.7943;29.719;
112226;23.528;29.2686;
112301;23.7093;29.0885;
112373;23.6282;28.7685;
112447;23.68;28.5208;
112522;23.6679;28.325;
112590;23.3718;28.4752;
112662;23.2206;28.542;
112736;23.0313;28.3803;
112809;23.0784;28.4033;
112888;22.787;28.1849;
112959;22.9389;28.3296;
113030;22.8791;28.1801;
113104;22.8227;28.2702;
113176;22.6172;28.2035;
113249;22.6963;28.1395;
113320;22.6637;27.869;
113392;22.4965;27.9561;
113471;22.3747;28.0925;
113538;22.3853;27.6404;
113611;22.3354;27.5877;
113685;22.3967;27.4728;
113758;22.3119;27.3705;
113831;22.1185;27.3461;
113905;22.3657;27.3842;
113978;22.3827;27.4154;
114051;22.4939;27.4125;
114126;22.4968;27.4722;
114204;22.36;27.5162;
114265;21.9849;27.9052;
114337;22.0753;27.8957;
114419;22.0298;28.0905;
114489;22.0734;28.4099;
114559;22.1473;28.915;
114631;22.1397;29.4153;
114708;22.2998;29.7164;
114782;22.487;30.4084;
114856;22.5238;30.7833;
114926;22.5164;31.3533;
114998;22.645;31.7761;
