16:45:02   Default
2021_11_30_Andi
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
123637;64.852;65.2439;
123709;64.7334;65.2607;
123783;64.7801;65.4805;
123856;64.7707;65.7104;
123926;64.5694;66.1823;
123999;64.787;66.7975;
124072;64.6899;67.6038;
124143;64.6495;68.2168;
124217;64.5945;69.0135;
124290;64.6351;69.2811;
124363;64.8544;70.056;
124438;64.9391;70.6069;
124512;65.0416;71.129;
124584;65.2396;71.7938;
124652;65.4223;72.5324;
124729;65.4665;73.2329;
124800;65.4201;73.7146;
124876;65.4967;74.2193;
124951;65.7326;74.8276;
125021;65.7531;75.3726;
125100;65.7267;75.9672;
125173;65.8926;76.4211;
125237;65.9222;76.9193;
125309;65.938;76.9925;
125389;66.1512;77.2863;
125457;66.337;77.7492;
125529;66.2749;77.9834;
125607;66.3733;78.6019;
125674;66.5996;79.1781;
125748;66.5775;79.7651;
125825;66.538;80.3572;
125893;66.7054;80.5818;
125972;66.7548;80.7318;
126041;66.8523;81.2158;
126112;66.8545;81.6862;
126186;66.8196;81.8662;
126258;66.8214;82.0737;
126329;66.8078;82.3011;
126405;66.8463;82.2812;
126474;66.9215;82.3179;
126555;66.9423;81.9764;
126620;67.02;81.6055;
126691;67.1118;80.8067;
126767;67.157;79.8677;
126846;67.0909;78.6841;
126920;67.2908;77.5549;
126988;67.2322;76.7764;
127063;67.0095;75.992;
127142;66.8687;75.0776;
127208;66.7589;74.7817;
127279;66.7368;73.882;
127354;66.5805;72.8693;
127421;66.5593;72.269;
127499;66.5197;71.5079;
127576;66.1878;71.0109;
127643;66.1435;70.3754;
127713;66.1821;69.899;
127790;66.1355;69.488;
127862;65.8806;68.9588;
127932;65.8662;68.5181;
128012;65.8212;68.1089;
128080;65.6917;67.8732;
128153;65.5371;67.6551;
128228;65.304;67.5098;
128301;65.2844;67.6376;
128369;65.0886;66.7568;
128445;65.1;66.6075;
128521;65.1448;66.2571;
128594;65.0491;66.0213;
128658;65.0022;65.8222;
128734;64.9261;65.7477;
128807;64.8849;65.7757;
128886;65.1161;65.9493;
128954;65.0866;66.021;
129028;65.0956;66.0725;
129101;65.1289;66.1647;
129171;65.0133;66.1713;
129245;64.9536;66.1906;
129318;64.9742;66.4777;
129392;64.9692;66.7099;
129467;64.8628;66.068;
129535;64.7494;66.0118;
129609;64.9237;65.735;
129682;64.793;65.683;
129755;64.9063;65.6231;
129827;64.8281;65.5781;
129901;64.8717;65.6664;
129977;64.8251;65.61;
130046;64.774;65.6418;
130122;64.6902;65.7813;
130195;64.7198;65.8544;
130264;64.7984;65.8412;
130339;64.7215;66.1556;
130411;64.5482;66.427;
130487;64.5357;66.1451;
130554;64.7027;65.939;
130631;64.7114;65.793;
130702;64.7035;65.6782;
130774;64.6827;65.6544;
130855;64.6739;65.619;
130922;64.6472;65.5142;
130995;64.6436;65.5566;
131071;64.6989;65.5219;
131139;64.8604;65.6897;
131208;64.7142;65.737;
131288;64.6504;65.6959;
131357;64.6134;65.7639;
131430;64.7449;65.7386;
131504;64.6041;65.9333;
131577;64.6331;66.3413;
131648;64.588;66.0422;
131723;64.4823;66.8315;
131795;64.6322;67.2921;
131867;64.635;67.7616;
131943;64.8109;68.3973;
132013;65.0586;69.0636;
132086;65.139;69.5022;
132164;65.2774;69.9171;
132236;65.3837;70.3767;
132303;65.4577;70.9097;
132378;65.6785;71.6566;
132448;65.7044;72.2594;
132527;65.7762;72.7585;
132599;65.7958;73.3227;
132668;65.8866;73.8033;
132742;65.7164;74.3665;
132821;65.9587;74.6157;
132886;66.0236;74.9615;
132958;66.2554;75.3682;
133033;66.3109;75.6582;
133111;66.2767;76.0256;
133181;66.5271;76.3171;
133259;66.6571;76.8419;
133326;66.7289;77.094;
133395;66.7288;77.4376;
133475;66.9488;77.6899;
133543;66.8872;78.0465;
133616;67.0052;78.407;
133689;67.0376;78.5805;
133762;67.0275;78.7922;
133831;67.0354;79.0972;
133905;66.9675;79.1852;
133979;66.8954;79.1474;
134052;67.03;79.5248;
134131;67.0816;79.5551;
134198;66.9954;79.4027;
134277;67.0766;79.2803;
134349;67.1324;78.7937;
134419;67.2579;78.2808;
134489;67.231;77.8482;
134564;67.3886;77.0603;
134635;67.2914;76.3125;
134714;67.3081;75.7329;
134782;67.2618;75.0469;
134855;67.1052;74.2899;
134922;67.032;73.6682;
134994;66.7284;73.2283;
135072;66.7073;72.0712;
135145;66.641;71.418;
135218;66.6549;70.7095;
135296;66.4839;70.0469;
135368;66.3812;69.6854;
135436;66.2921;69.2761;
135510;66.2127;68.8463;
135587;66.1561;68.3693;
135662;66.0057;68.0445;
135728;66.0061;67.8728;
135802;65.8815;67.6548;
135877;65.7337;67.4503;
135946;65.8217;67.2259;
136020;65.5844;67.0569;
136092;65.4699;66.917;
136166;65.2655;67.139;
136245;65.2236;66.5369;
136316;65.1708;66.354;
136386;65.1264;66.0698;
136456;65.0903;65.8087;
136530;65.0876;65.8487;
136607;65.1174;65.7428;
136681;65.0806;65.7122;
136748;65.136;65.6509;
136823;65.115;65.5775;
136902;64.9748;65.5934;
136974;64.972;65.6368;
137039;65.0527;65.6606;
137115;65.0101;65.6956;
137193;65.046;65.6879;
137258;64.8311;65.6971;
137335;64.8078;65.8695;
137404;64.8881;65.6146;
137477;64.8715;65.4501;
137549;64.9731;65.3813;
137627;64.8948;65.2562;
137694;64.8842;65.2669;
137769;65.0006;65.2771;
137845;64.9803;65.249;
137914;64.968;65.3192;
137987;65.0395;65.3055;
138058;64.8809;65.3842;
138131;65.0291;65.4497;
138212;64.9456;65.4861;
138278;64.8939;65.5014;
138352;64.9707;65.4788;
138426;65.0186;65.4035;
138500;64.8011;65.6775;
138571;64.7918;65.792;
138649;64.9635;65.3923;
138715;65.0037;65.3269;
138786;64.9048;65.2936;
138863;64.8535;65.2161;
138932;64.8646;65.2381;
139005;64.8666;65.2696;
139078;64.9973;65.2309;
139152;64.8892;65.1632;
139225;64.9034;65.2161;
139298;64.8964;65.359;
139370;64.9764;65.4594;
139441;64.8764;65.5257;
139516;64.859;65.7531;
139586;64.889;66.1087;
139666;64.8315;66.4759;
139738;64.8463;66.9696;
139814;64.8675;67.496;
139884;65.1179;67.867;
139954;65.113;68.1231;
140027;65.2741;68.6959;
140099;65.4789;69.2368;
140175;65.5992;69.7997;
140248;65.5749;70.4462;
140318;65.8007;71.0051;
140389;65.8724;71.5589;
140463;65.9028;72.1951;
140540;65.9553;72.7977;
140613;66.0855;73.3728;
140683;66.1105;74.057;
140756;66.0221;74.4355;
140832;66.202;74.6175;
140907;66.2929;75.1125;
140972;66.3114;75.4031;
141051;66.344;75.9423;
141126;66.5252;76.3674;
141198;66.5926;76.7928;
141266;66.6536;77.2451;
141338;66.6768;77.5;
141409;66.8615;77.8655;
141482;66.8603;78.2744;
141555;66.8757;78.6368;
141632;66.9472;78.8699;
141701;66.8656;79.2743;
141774;66.8844;79.2069;
141849;67.0339;79.0494;
141927;66.9853;78.8317;
142001;67.0177;78.7787;
142064;67.0553;78.5785;
142137;67.138;77.9419;
142210;67.026;77.5457;
142284;67.0511;76.9086;
142357;67.1476;75.7885;
142433;67.2148;74.8971;
142505;67.1018;74.1602;
142578;66.9758;73.4753;
142650;66.8639;72.7608;
142721;66.7359;72.227;
142792;66.6271;71.4802;
142865;66.4899;70.2257;
142941;66.4601;69.5906;
143020;66.3842;68.7664;
143087;66.2872;68.3813;
143159;66.1343;67.9365;
143232;65.9567;67.5337;
143310;65.9249;67.308;
143376;65.802;67.0119;
143455;65.5908;66.7732;
143523;65.5536;66.5939;
143596;65.5295;66.4361;
143669;65.4773;66.3776;
143743;65.2197;66.1762;
143813;65.2865;66.0098;
143889;65.1629;66.137;
143960;64.9181;66.2483;
