17:51:45   Default
28102021 2.MessungPatient2
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
54267;33.138;32.691;
54343;33.1728;32.6273;
54417;32.9689;32.4242;
54493;32.8682;32.225;
54565;32.6974;31.7157;
54633;32.4019;30.9547;
54702;32.2323;29.9183;
54775;32.0419;29.1361;
54855;31.8906;28.1546;
54923;31.6401;27.4819;
54996;31.4163;26.6053;
55071;31.2274;25.4292;
55142;31.0691;24.8521;
55214;30.8127;24.0475;
55285;30.5282;23.3393;
55368;30.3962;22.7625;
55439;30.1051;22.326;
55512;29.957;21.5522;
55582;29.6875;21.1763;
55651;29.3678;20.948;
55723;29.1247;20.652;
55799;28.9114;20.1405;
55870;28.7393;19.6886;
55942;28.7098;19.2087;
56020;28.5423;19.1113;
56090;28.5959;19.4574;
56160;28.6074;19.7474;
56239;28.5654;19.6536;
56305;28.6169;19.6838;
56378;28.5394;19.629;
56454;28.6569;19.7129;
56522;28.6585;19.6954;
56598;28.5745;20.0768;
56673;28.4528;20.5127;
56742;28.4058;20.98;
56815;28.4538;20.9386;
56892;28.7142;21.2508;
56965;29.0253;21.6454;
57034;29.2777;22.2016;
57117;29.7411;22.5473;
57187;30.1354;22.8156;
57253;30.5423;23.3437;
57324;30.8377;23.8555;
57401;31.2385;24.6268;
57473;31.6192;25.0911;
57546;31.9935;25.5932;
57616;32.2642;26.2108;
57694;32.4768;26.4806;
57763;32.8837;26.7409;
57836;33.0501;27.3829;
57911;33.1848;27.8492;
57981;33.2901;28.8988;
58057;33.3437;29.7618;
58129;33.3803;30.5957;
58200;33.4756;31.8532;
58273;33.4983;32.8602;
58348;33.4594;33.3007;
58420;33.558;33.2997;
58493;33.5411;32.8351;
58566;33.319;32.7162;
58640;33.2983;32.0672;
58712;33.2575;30.9496;
58784;33.0369;30.1283;
58856;32.8849;29.2156;
58931;32.7076;28.344;
59002;32.5716;27.442;
59074;32.4232;26.5343;
59149;32.1839;25.7234;
59225;31.9488;24.8918;
59295;31.6586;24.1996;
59368;31.4224;23.5199;
59440;31.0881;22.9773;
59514;30.7014;22.7778;
59583;30.4076;22.4723;
59656;30.0675;21.5955;
59731;29.8932;21.0923;
59801;29.7021;20.5125;
59875;29.5481;19.7863;
59955;29.3598;19.3238;
60025;29.2591;18.8198;
60095;29.0428;18.4681;
60167;29.009;18.1369;
60244;28.9437;17.7957;
60319;28.7423;17.7084;
60387;28.6917;17.5969;
60461;28.6052;17.5018;
60533;28.5398;17.3586;
60609;28.4188;17.427;
60680;28.328;17.6432;
60750;28.3584;17.4364;
60825;28.2744;17.4291;
60896;28.3287;17.2257;
60970;28.3002;17.2197;
61037;28.3239;17.1342;
61112;28.3743;17.2006;
61187;28.3122;17.425;
61260;28.3072;17.7135;
61333;28.379;18.0879;
61407;28.2562;18.6094;
61476;28.3595;19.3307;
61556;28.3672;20.0046;
61626;28.5246;20.8366;
61695;28.5684;21.5932;
61775;28.6056;22.034;
61844;28.8888;22.5847;
61920;29.0133;23.2909;
61993;29.2396;23.5612;
62068;29.5424;23.9751;
62133;29.9678;24.2824;
62219;30.3815;24.5636;
62289;30.6509;24.9717;
62350;31.009;25.4333;
62429;31.1341;26.3497;
62503;31.2625;27.074;
62571;31.4187;27.7779;
62646;31.5031;28.8862;
62718;31.6496;29.8235;
62790;31.696;30.1809;
62866;31.8477;30.6914;
62936;31.9195;30.8052;
63011;31.9148;30.6683;
63080;31.8781;30.1586;
63159;31.9303;29.2899;
63228;31.8669;28.3037;
63298;31.7603;27.4499;
63375;31.7454;26.6613;
63444;31.5454;25.9843;
63516;31.4707;24.959;
63590;31.1525;24.0384;
63665;30.9148;23.5177;
63737;30.5616;22.8714;
63811;30.2887;22.0107;
63883;30.1334;21.3304;
63953;29.9112;20.7155;
64030;29.5579;20.195;
64101;29.4106;19.6545;
64174;29.2217;19.1691;
64248;28.9624;18.7075;
64324;28.8022;18.2303;
64399;28.6568;17.9662;
64467;28.5639;17.7057;
64544;28.3985;17.5542;
64608;28.2863;17.4827;
64684;28.2397;17.5127;
64760;27.9935;17.7512;
64836;27.9748;17.4757;
64902;27.7931;17.3545;
64982;27.8831;17.2917;
65051;27.9264;17.0205;
65127;27.8396;16.9608;
65200;27.8121;16.9979;
65266;27.8152;16.9215;
65339;27.9399;16.9211;
65421;27.7823;17.1056;
65488;27.8751;17.3272;
65563;27.9936;17.6966;
65636;27.9224;18.3617;
65705;27.9086;19.0631;
65780;27.7845;19.8848;
65855;27.9149;20.2714;
65928;28.0162;21.0752;
65998;28.2077;21.3196;
66070;28.602;21.4727;
66143;28.8605;21.8515;
66218;29.2242;22.3429;
66289;29.649;22.7152;
66362;29.9368;22.8892;
66435;30.3265;23.3749;
66512;30.7035;23.9001;
66583;31.0317;24.4005;
66655;31.2907;24.9603;
66726;31.5403;25.7839;
66797;31.6509;26.3411;
66872;31.995;26.608;
66942;32.1952;27.3308;
67015;32.2616;27.9567;
67092;32.3466;28.8799;
67162;32.4519;29.5862;
67240;32.5808;30.4557;
67314;32.6907;31.1856;
67385;32.9258;31.5034;
67455;33.0508;31.9483;
67529;33.0321;32.0291;
67602;33.098;31.5626;
67673;32.9823;31.2476;
67746;32.9689;30.6854;
67817;32.9672;29.5792;
67890;32.8933;28.5707;
67964;32.6991;27.6282;
68034;32.3743;26.8562;
68111;32.0555;25.9693;
68184;31.7718;25.1557;
68255;31.5591;24.4283;
68333;31.2546;23.4429;
68401;30.9334;22.5985;
68472;30.6622;21.8962;
68548;30.4467;21.374;
68621;30.1179;20.7563;
68694;29.6947;20.5681;
68766;29.2436;20.3358;
68838;29.0097;19.3141;
68914;28.837;18.9251;
68984;28.659;18.5584;
69064;28.371;18.0331;
69132;28.2214;17.7907;
69200;28.0783;17.5446;
69276;28.0409;17.3011;
69346;27.9558;17.1989;
69427;27.853;17.0582;
69495;27.793;16.9673;
69572;27.7785;16.9974;
69641;27.7504;17.0587;
69718;27.7247;17.0397;
69788;27.6008;17.3024;
69860;27.5906;17.4664;
