16:55:14   Default
2021_11_23_Patient29
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
175226;66.7156;72.0763;
175293;66.7382;70.6663;
175367;66.7099;70.0443;
175445;66.5893;69.2616;
175511;66.3795;68.3937;
175589;66.4215;67.6896;
175657;66.3577;67.0516;
175733;66.2556;66.4433;
175816;66.1508;65.8748;
175876;66.1096;65.3863;
175953;66.0513;64.9258;
176027;66.0311;64.4953;
176100;65.9338;64.209;
176170;65.7774;64.2144;
176242;65.7386;64.1762;
176313;65.7001;63.6603;
176386;65.685;63.5657;
176459;65.6601;63.0978;
176532;65.6224;62.9046;
176606;65.6844;62.6869;
176676;65.6481;62.6539;
176753;65.5581;62.5631;
176823;65.537;62.5225;
176892;65.599;62.5032;
176967;65.6193;62.3995;
177042;65.4782;62.4692;
177116;65.4222;62.5835;
177192;65.4623;63.1835;
177265;65.4371;62.8005;
177340;65.5068;62.8838;
177411;65.5712;62.5649;
177481;65.5519;62.4395;
177562;65.5259;62.2231;
177626;65.5964;62.2403;
177701;65.4389;62.2809;
177778;65.4826;62.202;
177846;65.4116;62.2129;
177919;65.4296;62.2697;
177988;65.4142;62.2768;
178061;65.5128;62.2311;
178138;65.4577;62.7047;
178206;65.3381;62.9701;
178284;65.3212;62.6622;
178352;65.4421;62.7129;
178430;65.4902;62.3908;
178500;65.4255;62.2798;
178575;65.4017;62.235;
178648;65.4682;62.2778;
178716;65.4433;62.2845;
178790;65.4653;62.2457;
178864;65.4923;62.3125;
178939;65.4173;62.3316;
179008;65.4888;62.4747;
179080;65.3956;63.0731;
179153;65.2855;64.0526;
179226;65.4477;64.6002;
179299;65.4155;65.4022;
179372;65.4872;66.2571;
179444;65.5203;66.9515;
179521;65.6853;67.6769;
179592;65.8991;68.3912;
179664;65.8745;69.2998;
179736;66.0115;70.0648;
179810;66.029;70.9012;
179886;66.0906;71.8104;
179955;66.205;72.6538;
180032;66.2096;73.3804;
180101;66.1571;74.3618;
180171;66.2251;74.7813;
180247;66.458;75.5736;
180323;66.5676;76.2819;
180397;66.4895;77.0291;
180460;66.6697;77.7876;
180540;66.9054;78.4573;
180614;66.9895;79.232;
180685;67.1199;79.4181;
180757;67.1387;79.6716;
180830;67.259;80.2122;
180901;67.3336;80.2295;
180975;67.3002;79.7864;
181048;67.2434;78.0473;
181123;67.5239;76.2949;
181194;67.5289;75.3545;
181262;67.4921;74.268;
181340;67.1477;73.4598;
181414;67.0251;72.473;
181486;66.9857;71.7535;
181555;66.8266;71.0094;
181631;66.6779;70.268;
181705;66.5213;69.4071;
181780;66.4925;68.5451;
181850;66.5128;67.8302;
181921;66.2709;67.3634;
181995;66.0407;66.9549;
182069;66.108;65.9339;
182140;66.1019;65.6433;
182219;65.9646;65.071;
182292;65.8569;64.5406;
182372;65.9283;64.1082;
182440;65.8519;63.7818;
182508;65.7076;63.5332;
182579;65.7951;63.2707;
182653;65.6583;63.0167;
182724;65.6372;62.8196;
182800;65.646;62.7233;
182870;65.5638;62.6224;
182941;65.4485;62.8445;
183015;65.4835;63.3107;
183089;65.5174;62.9533;
183161;65.4849;63.0017;
183232;65.5649;62.8114;
183308;65.5098;62.595;
183382;65.5719;62.5011;
183452;65.5104;62.424;
183530;65.5657;62.4593;
183599;65.4809;62.3796;
183672;65.4964;62.4215;
183747;65.5165;62.3467;
183818;65.5128;62.3438;
183887;65.4095;62.5392;
183967;65.3508;62.986;
184039;65.3933;62.6764;
184106;65.4943;62.7381;
184179;65.4618;62.5447;
184256;65.4944;62.3167;
184328;65.4678;62.1685;
184399;65.4446;62.1994;
184473;65.433;62.211;
184544;65.4536;62.2131;
184620;65.496;62.208;
184692;65.4238;62.1157;
184768;65.5019;62.2184;
184845;65.4464;62.276;
184911;65.354;62.6229;
184984;65.4212;62.8104;
185055;65.394;62.694;
185126;65.4806;62.5702;
185199;65.4731;62.3316;
185274;65.3796;62.135;
185347;65.4884;62.1354;
185418;65.3704;62.1401;
185490;65.4323;62.303;
185564;65.5006;62.326;
185636;65.4857;62.536;
185712;65.5199;62.7722;
185784;65.4439;63.0107;
185861;65.3636;63.6489;
185932;65.3866;64.6182;
186001;65.367;64.8932;
186082;65.4374;65.6267;
186152;65.5608;66.1211;
186221;65.4941;66.8454;
186298;65.7333;67.4892;
186366;65.8013;68.0608;
186439;65.9113;68.886;
186512;65.9708;69.4442;
186585;66.0513;70.1797;
186655;66.1186;71.018;
